iso2,Country_Flag
TM,https://www.countryflags.io/TM/flat/64.png
TN,https://www.countryflags.io/TN/flat/64.png
TO,https://www.countryflags.io/TO/flat/64.png
TR,https://www.countryflags.io/TR/flat/64.png
TT,https://www.countryflags.io/TT/flat/64.png
TV,https://www.countryflags.io/TV/flat/64.png
TW,https://www.countryflags.io/TW/flat/64.png
TZ,https://www.countryflags.io/TZ/flat/64.png
UA,https://www.countryflags.io/UA/flat/64.png
UG,https://www.countryflags.io/UG/flat/64.png
UM,https://www.countryflags.io/UM/flat/64.png
US,https://www.countryflags.io/US/flat/64.png
UY,https://www.countryflags.io/UY/flat/64.png
UZ,https://www.countryflags.io/UZ/flat/64.png
VA,https://www.countryflags.io/VA/flat/64.png
VC,https://www.countryflags.io/VC/flat/64.png
VE,https://www.countryflags.io/VE/flat/64.png
VG,https://www.countryflags.io/VG/flat/64.png
VI,https://www.countryflags.io/VI/flat/64.png
VN,https://www.countryflags.io/VN/flat/64.png
VU,https://www.countryflags.io/VU/flat/64.png
WF,https://www.countryflags.io/WF/flat/64.png
WS,https://www.countryflags.io/WS/flat/64.png
XK,https://www.countryflags.io/XK/flat/64.png
YE,https://www.countryflags.io/YE/flat/64.png
YT,https://www.countryflags.io/YT/flat/64.png
ZA,https://www.countryflags.io/ZA/flat/64.png
ZM,https://www.countryflags.io/ZM/flat/64.png
ZW,https://www.countryflags.io/ZW/flat/64.png
