Financial Statements - Income statement,,,,,,Report as of : 2021-02-14,,
,,,,,,,,
삼정회계법인,,,,,,"2014 ~ 2020, Standard Form",,
"156416,  General",,,,,,KRW,,
,,,,,,,,
,Report,2014/Annual,2015/Annual,2016/Annual,2017/Annual,2018/Annual,2019/Annual,2020/Annual
125000,영업이익(손실),"4,218,199,000.","12,009,803,000.","5,575,914,000.","4,536,663,000.","5,228,151,000.","19,139,369,000.","15,382,718,000."
125100,영업외수익,"3,090,862,000.","2,465,643,000.","2,043,871,000.","1,169,743,000.","852,190,000.","1,599,127,000.","2,071,301,000."
125101,     이자수익,"57,547,000.","169,214,000.","69,040,000.","82,818,000.","114,935,000.","324,890,000.","432,617,000."
125105,     임대료수익,,,"11,329,000.","16,970,000.","17,363,000.","15,955,000.","19,205,000."
125109,     외환차익,"195,982,000.","506,459,000.","1,085,448,000.","540,611,000.","337,266,000.","514,469,000.","677,939,000."
125111,     외화환산이익,"21,675,000.","22,750,000.","131,875,000.","134,357,000.","63,344,000.","96,479,000.","248,859,000."
125113,     대손충당금환입,,"111,503,000.",,,,,
125122,     투자자산처분이익,,,"511,000.","1,820,000.",,"92,557,000.","8,200,000."
125127,     지분법이익,"247,244,000.","130,706,000.","14,845,000.","39,885,000.","117,601,000.","351,269,000.","419,505,000."
125115,     기타영업외수익,"2,568,414,000.","1,525,011,000.","730,822,000.","353,281,000.","201,680,000.","203,507,000.","264,977,000."
126000,영업외비용,"528,250,000.","805,396,000.","1,287,163,000.","2,904,034,000.","1,045,563,000.","2,490,986,000.","1,087,848,000."
126110,     이자비용,"55,369,000.","5,007,000.","4,259,000.","20,591,000.","5,818,000.","10,779,000.","20,053,000."
126150,     기부금,"173,868,000.","146,509,000.","166,659,000.","179,100,000.","343,165,000.","319,769,000.","366,613,000."
126160,     외환차손,"277,744,000.","345,519,000.","445,541,000.","586,461,000.","554,003,000.","285,538,000.","638,060,000."
126170,     자산평가손실,,"227,317,000.","264,479,000.","105,440,000.",,,
126173,          투자자산평가손실,,"227,317,000.","264,479,000.","105,440,000.",,,
126174,     외화환산손실,"19,247,000.","49,981,000.","351,149,000.","277,913,000.","133,382,000.","20,068,000.","62,952,000."
126260,"     유,무형,리스자산처분손실",,"2,825,000.",,,,,
126270,     투자자산처분손실,,"28,130,000.","38,816,000.","73,525,000.",,"22,448,000.",
126310,     지분법손실,,,,,"5,464,000.",,
126250,     기타영업외비용,"2,022,000.","107,000.","16,260,000.","1,661,004,000.","3,731,000.","1,832,384,000.","171,000."
128000,법인세비용차감전계속사업이익(손실),"6,780,811,000.","13,670,050,000.","6,332,622,000.","2,802,371,000.","5,034,778,000.","18,247,510,000.","16,366,170,000."
128100,계속사업손익법인세비용(부의법인세비용),"2,940,753,000.","3,498,200,000.","1,975,526,000.","1,109,111,000.","1,537,436,000.","6,264,460,000.","3,242,050,000."
128160,계속사업이익(손실),"3,840,058,000.","10,171,850,000.","4,357,096,000.","1,693,260,000.","3,497,343,000.","11,983,049,000.","13,124,120,000."
129000,당기순이익(손실),"3,840,058,000.","10,171,850,000.","4,357,096,000.","1,693,260,000.","3,497,343,000.","11,983,049,000.","13,124,120,000."
129001,[포괄손익],,,,,"3,497,343.","11,983,049.","13,124,120."
129007,기본주당계속사업손익,"480,007.","1,271,481.","544,637.","211,658.","437,168.","1,497,881.","1,640,515."
129009,기본주당순손익,"480,007.","1,271,481.","544,637.","211,658.","437,168.","1,497,881.","1,640,515."
